Cancer id,Cancer label,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,Prevalence (Prop. (W)) per 100 000
40,All cancers excl. non-melanoma skin cancer,004,Afghanistan,AFG,0,2,52.53
40,All cancers excl. non-melanoma skin cancer,008,Albania,ALB,0,2,109.75
40,All cancers excl. non-melanoma skin cancer,012,Algeria,DZA,0,2,96.31
40,All cancers excl. non-melanoma skin cancer,024,Angola,AGO,0,2,73.06
40,All cancers excl. non-melanoma skin cancer,031,Azerbaijan,AZE,0,2,99.93
40,All cancers excl. non-melanoma skin cancer,032,Argentina,ARG,0,2,161.79
40,All cancers excl. non-melanoma skin cancer,036,Australia,AUS,0,2,281.33
40,All cancers excl. non-melanoma skin cancer,040,Austria,AUT,0,2,201.37
40,All cancers excl. non-melanoma skin cancer,044,Bahamas,BHS,0,2,151.41
40,All cancers excl. non-melanoma skin cancer,048,Bahrain,BHR,0,2,89.67
40,All cancers excl. non-melanoma skin cancer,050,Bangladesh,BGD,0,2,61.12
40,All cancers excl. non-melanoma skin cancer,051,Armenia,ARM,0,2,134.07
40,All cancers excl. non-melanoma skin cancer,052,Barbados,BRB,0,2,161.78
40,All cancers excl. non-melanoma skin cancer,056,Belgium,BEL,0,2,258.42
40,All cancers excl. non-melanoma skin cancer,064,Bhutan,BTN,0,2,58.87
40,All cancers excl. non-melanoma skin cancer,068,Bolivia (Plurinational State of),BOL,0,2,91.16
40,All cancers excl. non-melanoma skin cancer,070,Bosnia Herzegovina,BIH,0,2,148.7
40,All cancers excl. non-melanoma skin cancer,072,Botswana,BWA,0,2,80.32
40,All cancers excl. non-melanoma skin cancer,076,Brazil,BRA,0,2,142.2
40,All cancers excl. non-melanoma skin cancer,084,Belize,BLZ,0,2,76.51
40,All cancers excl. non-melanoma skin cancer,090,Solomon Islands,SLB,0,2,83.63
40,All cancers excl. non-melanoma skin cancer,096,Brunei Darussalam,BRN,0,2,148.44
40,All cancers excl. non-melanoma skin cancer,100,Bulgaria,BGR,0,2,159.71
40,All cancers excl. non-melanoma skin cancer,104,Myanmar,MMR,0,2,73.38
40,All cancers excl. non-melanoma skin cancer,108,Burundi,BDI,0,2,55.44
40,All cancers excl. non-melanoma skin cancer,112,Belarus,BLR,0,2,202.41
40,All cancers excl. non-melanoma skin cancer,116,Cambodia,KHM,0,2,76.03
40,All cancers excl. non-melanoma skin cancer,120,Cameroon,CMR,0,2,67.98
40,All cancers excl. non-melanoma skin cancer,124,Canada,CAN,0,2,248.79
40,All cancers excl. non-melanoma skin cancer,132,Cape Verde,CPV,0,2,56.61
40,All cancers excl. non-melanoma skin cancer,140,Central African Republic,CAF,0,2,38.57
40,All cancers excl. non-melanoma skin cancer,144,Sri Lanka,LKA,0,2,74.09
40,All cancers excl. non-melanoma skin cancer,148,Chad,TCD,0,2,50.56
40,All cancers excl. non-melanoma skin cancer,152,Chile,CHL,0,2,137.6
40,All cancers excl. non-melanoma skin cancer,156,China,CHN,0,2,132.24
40,All cancers excl. non-melanoma skin cancer,170,Colombia,COL,0,2,120.9
40,All cancers excl. non-melanoma skin cancer,174,Comoros,COM,0,2,65.2
40,All cancers excl. non-melanoma skin cancer,178,"Congo, Republic of",COG,0,2,46.08
40,All cancers excl. non-melanoma skin cancer,180,"Congo, Democratic Republic of",COD,0,2,48.03
40,All cancers excl. non-melanoma skin cancer,188,Costa Rica,CRI,0,2,118.11
40,All cancers excl. non-melanoma skin cancer,191,Croatia,HRV,0,2,238.77
40,All cancers excl. non-melanoma skin cancer,192,Cuba,CUB,0,2,144.35
40,All cancers excl. non-melanoma skin cancer,196,Cyprus,CYP,0,2,235.23
40,All cancers excl. non-melanoma skin cancer,203,Czechia,CZE,0,2,221.41
40,All cancers excl. non-melanoma skin cancer,204,Benin,BEN,0,2,53.25
40,All cancers excl. non-melanoma skin cancer,208,Denmark,DNK,0,2,302.22
40,All cancers excl. non-melanoma skin cancer,214,Dominican Republic,DOM,0,2,113.85
40,All cancers excl. non-melanoma skin cancer,218,Ecuador,ECU,0,2,100.96
40,All cancers excl. non-melanoma skin cancer,222,El Salvador,SLV,0,2,76.58
40,All cancers excl. non-melanoma skin cancer,226,Equatorial Guinea,GNQ,0,2,67.27
40,All cancers excl. non-melanoma skin cancer,231,Ethiopia,ETH,0,2,49.45
40,All cancers excl. non-melanoma skin cancer,232,Eritrea,ERI,0,2,41.69
40,All cancers excl. non-melanoma skin cancer,233,Estonia,EST,0,2,227.47
40,All cancers excl. non-melanoma skin cancer,242,Fiji,FJI,0,2,126.24
40,All cancers excl. non-melanoma skin cancer,246,Finland,FIN,0,2,232.25
40,All cancers excl. non-melanoma skin cancer,250,France (metropolitan),FRA,0,2,260.42
40,All cancers excl. non-melanoma skin cancer,254,French Guyana,GUF,0,2,162.13
40,All cancers excl. non-melanoma skin cancer,258,French Polynesia,PYF,0,2,172.86
40,All cancers excl. non-melanoma skin cancer,262,Djibouti,DJI,0,2,51.81
40,All cancers excl. non-melanoma skin cancer,266,Gabon,GAB,0,2,76.35
40,All cancers excl. non-melanoma skin cancer,268,Georgia,GEO,0,2,140.89
40,All cancers excl. non-melanoma skin cancer,270,The Republic of the Gambia,GMB,0,2,39.94
40,All cancers excl. non-melanoma skin cancer,275,Gaza Strip and West Bank,PSE,0,2,97.22
40,All cancers excl. non-melanoma skin cancer,276,Germany,DEU,0,2,212.07
40,All cancers excl. non-melanoma skin cancer,288,Ghana,GHA,0,2,69.56
40,All cancers excl. non-melanoma skin cancer,300,Greece,GRC,0,2,203.78
40,All cancers excl. non-melanoma skin cancer,312,"France, Guadeloupe",GLP,0,2,176.57
40,All cancers excl. non-melanoma skin cancer,316,Guam,GUM,0,2,132.2
40,All cancers excl. non-melanoma skin cancer,320,Guatemala,GTM,0,2,71.6
40,All cancers excl. non-melanoma skin cancer,324,Guinea,GIN,0,2,54.69
40,All cancers excl. non-melanoma skin cancer,328,Guyana,GUY,0,2,88.57
40,All cancers excl. non-melanoma skin cancer,332,Haiti,HTI,0,2,67.4
40,All cancers excl. non-melanoma skin cancer,340,Honduras,HND,0,2,75.21
