,State,County,FIPS,Pop,CO,Pb,NO2 AM,NO2 1-hr,O3,PM10,PM2.5 Wtd AM,PM2.5 24-hr,SO2
2,Alabama,Baldwin County,01003,182265,,,,,0.065,,7.6,18,
3,Alabama,Clay County,01027,13932,,,,,,,,,
4,Alabama,Colbert County,01033,54428,,,,,,,,,
5,Alabama,DeKalb County,01049,71109,,,,,0.066,,8.9,21,
6,Alabama,Elmore County,01051,79303,,,,,0.061,,,,
7,Alabama,Escambia County,01053,38319,,,,,,,,,
8,Alabama,Etowah County,01055,104430,,,,,0.065,,9.8,22,
9,Alabama,Houston County,01069,101547,,,,,,,,,
10,Alabama,Jefferson County,01073,658466,1,,9,40,0.075,90,10.1,24,12
11,Alabama,Madison County,01089,334811,,,,,0.067,61,8.6,21,
12,Alabama,Mobile County,01097,412992,,,,,0.064,47,8.7,19,
13,Alabama,Montgomery County,01101,229363,,,,,0.065,32,10.3,21,
14,Alabama,Morgan County,01103,119490,,,,,0.069,,7.3,17,
15,Alabama,Pike County,01109,32899,,0.15,,,,,,,
16,Alabama,Russell County,01113,52947,,,,,0.064,,9.5,25,
17,Alabama,Shelby County,01117,195085,,,,,0.065,,,,55
18,Alabama,Sumter County,01119,13763,,,,,0.056,,5.4,18,5
19,Alabama,Talladega County,01121,82291,,,,,,,,,
20,Alabama,Tuscaloosa County,01125,194656,,,,,0.063,,8.1,21,
21,Alabama,Walker County,01127,67023,,,,,,,,,
22,Alaska,Anchorage Municipality,02020,291826,2,,,,,88,4.2,14,
23,Alaska,Denali Borough,02068,1826,,,,,0.049,,,,
24,Alaska,Fairbanks North Star Borough,02090,97581,2,,,,0.05,138,11.7,63,15
25,Alaska,Juneau City and Borough,02110,31275,,,,,,36,4.7,16,
26,Alaska,Kenai Peninsula Borough,02122,55400,,,,,,,,,
27,Alaska,Ketchikan Gateway Borough,02130,13477,,,,,,,,,
28,Alaska,Matanuska-Susitna Borough,02170,88995,,,,,,130,4.1,18,
29,Alaska,Skagway Municipality,02232,968,,,,,,,,,
30,Arizona,Apache County,04001,71518,,,,,,76,2.6,6,
31,Arizona,Cochise County,04003,131346,,,,,0.067,80,,,
32,Arizona,Coconino County,04005,134421,,,,,0.068,,,,
33,Arizona,Gila County,04007,53597,,0.05,,,0.076,123,,,68
34,Arizona,La Paz County,04012,20489,,,,,0.069,145,2.4,10,
35,Arizona,Maricopa County,04013,3817117,2,,24,58,0.083,207,9.8,32,4
36,Arizona,Mohave County,04015,200186,,,,,,138,,,
37,Arizona,Navajo County,04017,107449,,,,,0.063,39,,,
38,Arizona,Pima County,04019,980263,1,,13,39,0.07,201,7.8,16,1
39,Arizona,Pinal County,04021,375770,,,,,0.075,387,9.6,26,
40,Arizona,Santa Cruz County,04023,47420,,,,,,126,7.6,26,
41,Arizona,Yavapai County,04025,211033,,,,,0.064,,,,
42,Arizona,Yuma County,04027,195751,,,,,0.072,350,8,22,
43,Arkansas,Arkansas County,05001,19019,,,,,,,8.6,20,
44,Arkansas,Ashley County,05003,21853,,,,,,,8.6,20,
45,Arkansas,Benton County,05007,221339,,,,,,,,,
46,Arkansas,Clark County,05019,22995,,,,,0.065,,,,
47,Arkansas,Craighead County,05031,96443,,,,,,,,,
48,Arkansas,Crittenden County,05035,50902,,,5,34,0.074,,8.8,19,
49,Arkansas,Faulkner County,05045,113237,,,,,,,,,
