,Population,Alpha‑3 code,Cancer id,Prevalence (Prop. (W)) per 100 000
0,Afghanistan,AFG,15,3.9
1,Albania,ALB,15,13.19
2,Algeria,DZA,15,5.97
3,Angola,AGO,15,1.31
4,Azerbaijan,AZE,15,10.08
5,Argentina,ARG,15,10.56
6,Australia,AUS,15,12.7
7,Austria,AUT,15,14.87
8,Bahamas,BHS,15,4.71
9,Bahrain,BHR,15,4.76
10,Bangladesh,BGD,15,4.66
11,Armenia,ARM,15,15.25
12,Barbados,BRB,15,5.17
13,Belgium,BEL,15,17.53
14,Bhutan,BTN,15,4.03
15,Bolivia (Plurinational State of),BOL,15,4.29
16,Bosnia Herzegovina,BIH,15,19.61
17,Botswana,BWA,15,1.97
18,Brazil,BRA,15,7.76
19,Belize,BLZ,15,5.42
20,Solomon Islands,SLB,15,4.25
21,Brunei Darussalam,BRN,15,13.04
22,Bulgaria,BGR,15,14.78
23,Myanmar,MMR,15,8.53
24,Burundi,BDI,15,1.82
25,Belarus,BLR,15,13.93
26,Cambodia,KHM,15,8.47
27,Cameroon,CMR,15,1.62
28,Canada,CAN,15,16.92
29,Cape Verde,CPV,15,1.63
30,Central African Republic,CAF,15,1.12
31,Sri Lanka,LKA,15,3.51
32,Chad,TCD,15,1.11
33,Chile,CHL,15,6.58
34,China,CHN,15,21.88
35,Colombia,COL,15,5.2
36,Comoros,COM,15,1.57
37,"Congo, Republic of",COG,15,0.77
38,"Congo, Democratic Republic of",COD,15,1.16
39,Costa Rica,CRI,15,3.56
40,Croatia,HRV,15,19.71
41,Cuba,CUB,15,15.7
42,Cyprus,CYP,15,14.23
43,Czechia,CZE,15,12.57
44,Benin,BEN,15,0.74
45,Denmark,DNK,15,18.29
46,Dominican Republic,DOM,15,6.77
47,Ecuador,ECU,15,3.25
48,El Salvador,SLV,15,2.49
49,Equatorial Guinea,GNQ,15,2.44
50,Ethiopia,ETH,15,2.02
51,Eritrea,ERI,15,1.78
52,Estonia,EST,15,13.71
53,Fiji,FJI,15,3.63
54,Finland,FIN,15,10.02
55,France (metropolitan),FRA,15,19.61
56,French Guyana,GUF,15,8.27
57,French Polynesia,PYF,15,21.21
58,Djibouti,DJI,15,1.95
59,Gabon,GAB,15,1.72
60,Georgia,GEO,15,11.71
61,The Republic of the Gambia,GMB,15,2.66
62,Gaza Strip and West Bank,PSE,15,10.53
63,Germany,DEU,15,14.99
64,Ghana,GHA,15,1.4
65,Greece,GRC,15,16.4
66,"France, Guadeloupe",GLP,15,6.37
67,Guam,GUM,15,17.1
68,Guatemala,GTM,15,1.98
69,Guinea,GIN,15,1.88
70,Guyana,GUY,15,2.46
71,Haiti,HTI,15,3.29
72,Honduras,HND,15,3.56
73,Hungary,HUN,15,25.8
74,Iceland,ISL,15,14.46
75,India,IND,15,3.09
76,Indonesia,IDN,15,6.81
77,"Iran, Islamic Republic of",IRN,15,6.45
78,Iraq,IRQ,15,6.42
79,Ireland,IRL,15,16.6
80,Israel,ISR,15,12.0
81,Italy,ITA,15,12.9
82,Côte d'Ivoire,CIV,15,1.28
83,Jamaica,JAM,15,7.41
84,Japan,JPN,15,15.71
85,Kazakhstan,KAZ,15,10.52
86,Jordan,JOR,15,7.6
87,Kenya,KEN,15,1.87
88,"Korea, Democratic People Republic of",PRK,15,20.62
89,"Korea, Republic of",KOR,15,13.67
90,Kuwait,KWT,15,3.27
91,Kyrgyzstan,KGZ,15,7.47
92,Lao People's Democratic Republic,LAO,15,9.46
93,Lebanon,LBN,15,10.56
94,Lesotho,LSO,15,2.32
95,Latvia,LVA,15,12.48
96,Liberia,LBR,15,1.45
97,Libya,LBY,15,8.22
98,Lithuania,LTU,15,13.0
99,Luxembourg,LUX,15,13.19
100,Madagascar,MDG,15,1.13
101,Malawi,MWI,15,0.81
102,Malaysia,MYS,15,8.14
103,Maldives,MDV,15,6.89
104,Mali,MLI,15,1.77
105,Malta,MLT,15,9.96
106,"France, Martinique",MTQ,15,5.14
107,Mauritania,MRT,15,1.05
108,Mauritius,MUS,15,4.44
109,Mexico,MEX,15,2.81
110,Mongolia,MNG,15,9.86
111,Republic of Moldova,MDA,15,12.05
112,Montenegro,MNE,15,19.94
113,Morocco,MAR,15,10.76
114,Mozambique,MOZ,15,0.74
115,Oman,OMN,15,2.81
116,Namibia,NAM,15,3.02
117,Nepal,NPL,15,4.83
118,The Netherlands,NLD,15,18.82
119,New Caledonia,NCL,15,22.85
120,Vanuatu,VUT,15,4.95
121,New Zealand,NZL,15,13.2
