Cancer id,Cancer label,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,Prevalence (Prop. (W)) per 100 000
15,"Trachea, bronchus and lung",004,Afghanistan,AFG,0,2,3.9
15,"Trachea, bronchus and lung",008,Albania,ALB,0,2,13.19
15,"Trachea, bronchus and lung",012,Algeria,DZA,0,2,5.97
15,"Trachea, bronchus and lung",024,Angola,AGO,0,2,1.31
15,"Trachea, bronchus and lung",031,Azerbaijan,AZE,0,2,10.08
15,"Trachea, bronchus and lung",032,Argentina,ARG,0,2,10.56
15,"Trachea, bronchus and lung",036,Australia,AUS,0,2,12.7
15,"Trachea, bronchus and lung",040,Austria,AUT,0,2,14.87
15,"Trachea, bronchus and lung",044,Bahamas,BHS,0,2,4.71
15,"Trachea, bronchus and lung",048,Bahrain,BHR,0,2,4.76
15,"Trachea, bronchus and lung",050,Bangladesh,BGD,0,2,4.66
15,"Trachea, bronchus and lung",051,Armenia,ARM,0,2,15.25
15,"Trachea, bronchus and lung",052,Barbados,BRB,0,2,5.17
15,"Trachea, bronchus and lung",056,Belgium,BEL,0,2,17.53
15,"Trachea, bronchus and lung",064,Bhutan,BTN,0,2,4.03
15,"Trachea, bronchus and lung",068,Bolivia (Plurinational State of),BOL,0,2,4.29
15,"Trachea, bronchus and lung",070,Bosnia Herzegovina,BIH,0,2,19.61
15,"Trachea, bronchus and lung",072,Botswana,BWA,0,2,1.97
15,"Trachea, bronchus and lung",076,Brazil,BRA,0,2,7.76
15,"Trachea, bronchus and lung",084,Belize,BLZ,0,2,5.42
15,"Trachea, bronchus and lung",090,Solomon Islands,SLB,0,2,4.25
15,"Trachea, bronchus and lung",096,Brunei Darussalam,BRN,0,2,13.04
15,"Trachea, bronchus and lung",100,Bulgaria,BGR,0,2,14.78
15,"Trachea, bronchus and lung",104,Myanmar,MMR,0,2,8.53
15,"Trachea, bronchus and lung",108,Burundi,BDI,0,2,1.82
15,"Trachea, bronchus and lung",112,Belarus,BLR,0,2,13.93
15,"Trachea, bronchus and lung",116,Cambodia,KHM,0,2,8.47
15,"Trachea, bronchus and lung",120,Cameroon,CMR,0,2,1.62
15,"Trachea, bronchus and lung",124,Canada,CAN,0,2,16.92
15,"Trachea, bronchus and lung",132,Cape Verde,CPV,0,2,1.63
15,"Trachea, bronchus and lung",140,Central African Republic,CAF,0,2,1.12
15,"Trachea, bronchus and lung",144,Sri Lanka,LKA,0,2,3.51
15,"Trachea, bronchus and lung",148,Chad,TCD,0,2,1.11
15,"Trachea, bronchus and lung",152,Chile,CHL,0,2,6.58
15,"Trachea, bronchus and lung",156,China,CHN,0,2,21.88
15,"Trachea, bronchus and lung",170,Colombia,COL,0,2,5.2
15,"Trachea, bronchus and lung",174,Comoros,COM,0,2,1.57
15,"Trachea, bronchus and lung",178,"Congo, Republic of",COG,0,2,0.77
15,"Trachea, bronchus and lung",180,"Congo, Democratic Republic of",COD,0,2,1.16
15,"Trachea, bronchus and lung",188,Costa Rica,CRI,0,2,3.56
15,"Trachea, bronchus and lung",191,Croatia,HRV,0,2,19.71
15,"Trachea, bronchus and lung",192,Cuba,CUB,0,2,15.7
15,"Trachea, bronchus and lung",196,Cyprus,CYP,0,2,14.23
15,"Trachea, bronchus and lung",203,Czechia,CZE,0,2,12.57
15,"Trachea, bronchus and lung",204,Benin,BEN,0,2,0.74
15,"Trachea, bronchus and lung",208,Denmark,DNK,0,2,18.29
15,"Trachea, bronchus and lung",214,Dominican Republic,DOM,0,2,6.77
15,"Trachea, bronchus and lung",218,Ecuador,ECU,0,2,3.25
15,"Trachea, bronchus and lung",222,El Salvador,SLV,0,2,2.49
15,"Trachea, bronchus and lung",226,Equatorial Guinea,GNQ,0,2,2.44
15,"Trachea, bronchus and lung",231,Ethiopia,ETH,0,2,2.02
15,"Trachea, bronchus and lung",232,Eritrea,ERI,0,2,1.78
15,"Trachea, bronchus and lung",233,Estonia,EST,0,2,13.71
15,"Trachea, bronchus and lung",242,Fiji,FJI,0,2,3.63
15,"Trachea, bronchus and lung",246,Finland,FIN,0,2,10.02
15,"Trachea, bronchus and lung",250,France (metropolitan),FRA,0,2,19.61
15,"Trachea, bronchus and lung",254,French Guyana,GUF,0,2,8.27
15,"Trachea, bronchus and lung",258,French Polynesia,PYF,0,2,21.21
15,"Trachea, bronchus and lung",262,Djibouti,DJI,0,2,1.95
15,"Trachea, bronchus and lung",266,Gabon,GAB,0,2,1.72
15,"Trachea, bronchus and lung",268,Georgia,GEO,0,2,11.71
15,"Trachea, bronchus and lung",270,The Republic of the Gambia,GMB,0,2,2.66
15,"Trachea, bronchus and lung",275,Gaza Strip and West Bank,PSE,0,2,10.53
15,"Trachea, bronchus and lung",276,Germany,DEU,0,2,14.99
15,"Trachea, bronchus and lung",288,Ghana,GHA,0,2,1.4
15,"Trachea, bronchus and lung",300,Greece,GRC,0,2,16.4
15,"Trachea, bronchus and lung",312,"France, Guadeloupe",GLP,0,2,6.37
15,"Trachea, bronchus and lung",316,Guam,GUM,0,2,17.1
15,"Trachea, bronchus and lung",320,Guatemala,GTM,0,2,1.98
15,"Trachea, bronchus and lung",324,Guinea,GIN,0,2,1.88
15,"Trachea, bronchus and lung",328,Guyana,GUY,0,2,2.46
15,"Trachea, bronchus and lung",332,Haiti,HTI,0,2,3.29
15,"Trachea, bronchus and lung",340,Honduras,HND,0,2,3.56
15,"Trachea, bronchus and lung",348,Hungary,HUN,0,2,25.8
15,"Trachea, bronchus and lung",352,Iceland,ISL,0,2,14.46
15,"Trachea, bronchus and lung",356,India,IND,0,2,3.09
15,"Trachea, bronchus and lung",360,Indonesia,IDN,0,2,6.81
15,"Trachea, bronchus and lung",364,"Iran, Islamic Republic of",IRN,0,2,6.45
15,"Trachea, bronchus and lung",368,Iraq,IRQ,0,2,6.42
15,"Trachea, bronchus and lung",372,Ireland,IRL,0,2,16.6
15,"Trachea, bronchus and lung",376,Israel,ISR,0,2,12
15,"Trachea, bronchus and lung",380,Italy,ITA,0,2,12.9
15,"Trachea, bronchus and lung",384,"Côte d'Ivoire",CIV,0,2,1.28
15,"Trachea, bronchus and lung",388,Jamaica,JAM,0,2,7.41
15,"Trachea, bronchus and lung",392,Japan,JPN,0,2,15.71
15,"Trachea, bronchus and lung",398,Kazakhstan,KAZ,0,2,10.52
15,"Trachea, bronchus and lung",400,Jordan,JOR,0,2,7.6
15,"Trachea, bronchus and lung",404,Kenya,KEN,0,2,1.87
15,"Trachea, bronchus and lung",408,"Korea, Democratic People Republic of",PRK,0,2,20.62
15,"Trachea, bronchus and lung",410,"Korea, Republic of",KOR,0,2,13.67
15,"Trachea, bronchus and lung",414,Kuwait,KWT,0,2,3.27
15,"Trachea, bronchus and lung",417,Kyrgyzstan,KGZ,0,2,7.47
15,"Trachea, bronchus and lung",418,"Lao People's Democratic Republic",LAO,0,2,9.46
15,"Trachea, bronchus and lung",422,Lebanon,LBN,0,2,10.56
15,"Trachea, bronchus and lung",426,Lesotho,LSO,0,2,2.32
15,"Trachea, bronchus and lung",428,Latvia,LVA,0,2,12.48
15,"Trachea, bronchus and lung",430,Liberia,LBR,0,2,1.45
15,"Trachea, bronchus and lung",434,Libya,LBY,0,2,8.22
15,"Trachea, bronchus and lung",440,Lithuania,LTU,0,2,13
15,"Trachea, bronchus and lung",442,Luxembourg,LUX,0,2,13.19
15,"Trachea, bronchus and lung",450,Madagascar,MDG,0,2,1.13
15,"Trachea, bronchus and lung",454,Malawi,MWI,0,2,0.81
15,"Trachea, bronchus and lung",458,Malaysia,MYS,0,2,8.14
15,"Trachea, bronchus and lung",462,Maldives,MDV,0,2,6.89
15,"Trachea, bronchus and lung",466,Mali,MLI,0,2,1.77
15,"Trachea, bronchus and lung",470,Malta,MLT,0,2,9.96
15,"Trachea, bronchus and lung",474,"France, Martinique",MTQ,0,2,5.14
15,"Trachea, bronchus and lung",478,Mauritania,MRT,0,2,1.05
15,"Trachea, bronchus and lung",480,Mauritius,MUS,0,2,4.44
15,"Trachea, bronchus and lung",484,Mexico,MEX,0,2,2.81
15,"Trachea, bronchus and lung",496,Mongolia,MNG,0,2,9.86
15,"Trachea, bronchus and lung",498,Republic of Moldova,MDA,0,2,12.05
15,"Trachea, bronchus and lung",499,Montenegro,MNE,0,2,19.94
15,"Trachea, bronchus and lung",504,Morocco,MAR,0,2,10.76
15,"Trachea, bronchus and lung",508,Mozambique,MOZ,0,2,0.74
15,"Trachea, bronchus and lung",512,Oman,OMN,0,2,2.81
15,"Trachea, bronchus and lung",516,Namibia,NAM,0,2,3.02
15,"Trachea, bronchus and lung",524,Nepal,NPL,0,2,4.83
15,"Trachea, bronchus and lung",528,The Netherlands,NLD,0,2,18.82
15,"Trachea, bronchus and lung",540,New Caledonia,NCL,0,2,22.85
15,"Trachea, bronchus and lung",548,Vanuatu,VUT,0,2,4.95
15,"Trachea, bronchus and lung",554,New Zealand,NZL,0,2,13.2
15,"Trachea, bronchus and lung",558,Nicaragua,NIC,0,2,2.88
15,"Trachea, bronchus and lung",562,Niger,NER,0,2,0.5
15,"Trachea, bronchus and lung",566,Nigeria,NGA,0,2,0.92
15,"Trachea, bronchus and lung",578,Norway,NOR,0,2,14.73
15,"Trachea, bronchus and lung",586,Pakistan,PAK,0,2,3.08
15,"Trachea, bronchus and lung",591,Panama,PAN,0,2,3.27
15,"Trachea, bronchus and lung",598,Papua New Guinea,PNG,0,2,5.69
15,"Trachea, bronchus and lung",600,Paraguay,PRY,0,2,6.53
15,"Trachea, bronchus and lung",604,Peru,PER,0,2,3.61
15,"Trachea, bronchus and lung",608,Philippines,PHL,0,2,12.75
15,"Trachea, bronchus and lung",616,Poland,POL,0,2,19.47
15,"Trachea, bronchus and lung",620,Portugal,PRT,0,2,12.77
15,"Trachea, bronchus and lung",624,Guinea-Bissau,GNB,0,2,1.53
15,"Trachea, bronchus and lung",626,Timor-Leste,TLS,0,2,5.39
15,"Trachea, bronchus and lung",630,Puerto Rico,PRI,0,2,5.43
15,"Trachea, bronchus and lung",634,Qatar,QAT,0,2,2.77
15,"Trachea, bronchus and lung",638,"France, La Réunion",REU,0,2,11.59
15,"Trachea, bronchus and lung",642,Romania,ROU,0,2,16.42
