Country,Continent,ISO_Code,Level,GDLCODE,Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,Asia/Pacific,AFG,National,AFGt,Total,46.92,50.84,49.57,46.11,48.9,45.2,45.28,48.2,45.8,45.53,40.39,38.88,41.92,43.56,42.55,46.06,44.43,45.45,42.68,47.27,43.45,42.75,46.52,45.31,44.12,46.9,43.64,41.87,41.67,45.48,44.44,38.97,44.63
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr101,"Central (Kabul, Wardak, Kapisa, Logar, Parwan, Panjsher)",46.65,51.76,49.79,45.36,50.88,45.95,45.72,50.34,46.56,45.89,39.93,39.02,42.31,42.47,43.01,46.21,46.11,45.65,43.07,49.59,46,43.48,49.47,47.64,46.69,49.33,44.8,43.58,44.04,48.19,47.29,41.99,48.41
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr102,"Central Highlands (Bamyan, Daikundi)",48.46,53.5,50.62,47.79,50.57,44.61,46.71,48.97,44.79,47.11,40.26,38.33,41.85,43.29,42.8,47.51,44.85,46.99,42.97,50.63,42.13,43.09,48.38,45.68,45.54,49.54,45.06,43.93,43.48,46.61,43.85,40.05,44.13
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr103,"East (Nangarhar, Kunar, Laghman, Nooristan)",52.65,54.82,55.85,48.75,55.75,52.84,51.17,56.05,51.98,50.43,46.22,46.71,48.46,49.91,49.33,51.94,52.86,49.96,50.51,50.6,52.26,50.98,52.83,54.2,53.11,55.99,51.02,50.6,51.15,54.06,53.94,48.9,54.37
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr104,"North (Samangan, Sar-e-Pul, Balkh, Jawzjan, Faryab)",53.37,56.68,54.35,53.87,53.75,50.08,50.84,51.51,52.63,53.24,47.48,45.12,50.3,51.79,50.24,48.77,48.24,49.63,48.21,52.87,47.13,46.4,50.75,50.72,47.03,49.56,49.34,46.77,46.64,48.19,47.21,44.21,50.11
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr105,"North East (Baghlan, Takhar, Badakhshan, Kunduz)",58.17,61.99,60.25,59.12,61.14,56.83,58.61,58.79,60.02,59.65,55.14,51.97,57.42,56.84,59,56.03,54.65,55.93,54.44,58.89,58.66,52.71,58.03,55.3,54.77,59.09,55.85,52.86,54.29,55.22,55.25,49.92,55.74
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr106,"South (Uruzgan, Helmand, Zabul, Nimroz, Kandahar)",29.03,32.66,31.47,28.08,28.65,26.98,27.21,28.73,26.66,25.97,21.63,20.6,21.67,24.79,21.7,29.67,24.89,28.5,23.81,27.58,24.09,25.03,26.15,24.75,25.05,26.06,23.78,22.24,21.08,26.14,26.09,19.13,24.27
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr107,"South East (Ghazni, Paktya, Paktika, Khost)",46.08,49.66,49.26,42.93,49.6,44.76,42.57,50.52,43.77,41.01,36.54,36.65,36.63,39.57,37.39,47.06,46.01,47.19,43.1,47.25,43.1,43.67,48.53,47.63,45.96,47.8,43.06,41.43,40.14,47.51,45.01,37.17,44.48
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr108,"West (Ghor, Herat, Badghis, Farah)",40.97,45.67,44.97,42.94,40.91,39.53,39.36,40.71,39.96,40.93,35.92,32.61,36.68,39.82,36.91,41.27,37.84,39.76,35.37,40.73,34.19,36.63,37.99,36.56,34.81,37.8,36.23,33.56,32.56,37.9,36.87,30.36,35.56
Albania,Europe,ALB,National,ALBt,Total,69.33,72.14,69.82,69.29,69.81,72.89,72.57,69.23,71.3,73.1,68.98,71.2,73.29,67.89,71.29,71.45,70.58,68.74,70.8,71.43,72.59,67.46,67.72,69.96,73.8,67.43,70.22,65.92,70.44,69.34,68.35,67.06,66.58
Albania,Europe,ALB,Subnat,ALBr201," Berat",66.47,70.44,67.71,66.78,67.13,70.6,70.94,66.46,69.33,70.86,67.39,69.17,71.64,66.08,69.3,69.94,68.59,66.57,68.81,69.31,70.86,65.35,65.97,67.51,71.85,65.37,67.99,62.97,69.13,67.82,66.23,64.57,63.27
Albania,Europe,ALB,Subnat,ALBr202," Diber",71.12,74.83,71.9,70.85,71.84,76.35,75.12,71.98,74.18,75.82,70.67,73.87,76.06,70.54,73.21,73.82,72.91,69.77,72.81,74.18,74.7,69.38,69.3,72.32,76.28,69.14,72.39,67.87,72.1,70.56,70.52,69.05,68.6
